building_id,meter,meter_reading,site_id,square_feet,year_built,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed,month,day,hour,weekday,is_weekend,building_age,log_square_feet,log_meter_reading,primary_use_Entertainment/public assembly,primary_use_Food sales and service,primary_use_Healthcare,primary_use_Lodging/residential,primary_use_Manufacturing/industrial,primary_use_Office,primary_use_Other,primary_use_Parking,primary_use_Public services,primary_use_Religious worship,primary_use_Retail,primary_use_Services,primary_use_Technology/science,primary_use_Utility,primary_use_Warehouse/storage
973,0,247.0,9,193960,1970.0,13.3,0.0,8.9,0.0,1019.5,0.0,0.0,10,11,11,1,0,55.0,12.175412386908205,5.513428746164983,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
813,0,10.9583,8,5630,1970.0,19.4,0.0,17.8,10.0,1010.6,190.0,5.1,2,16,8,1,0,55.0,8.636042325254618,2.4814255979513447,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
870,0,4.1667,8,755,1970.0,24.4,0.0,22.8,-1.0,1019.1,160.0,2.1,7,3,2,6,1,55.0,6.628041376179533,1.6422341868491828,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
898,0,40.0,9,64749,1970.0,24.4,0.0,15.0,0.0,1007.3,210.0,1.5,3,15,3,1,0,55.0,11.078288979561783,3.713572066704308,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
903,0,624.0,9,275793,1970.0,17.8,0.0,17.2,25.0,1019.4,250.0,1.5,11,8,9,1,0,55.0,12.527409489209846,6.437751649736401,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1442,2,66.4117,15,99541,1993.0,17.2,0.0,8.9,0.0,1016.1,170.0,3.1,1,1,4,4,0,32.0,11.50833494463585,4.210818593357624,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1163,1,4.1233,13,83919,1970.0,-6.1,0.0,-11.7,-1.0,1033.7,300.0,3.6,12,9,2,4,0,55.0,11.33761924307018,1.6337987626803578,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
371,0,29.18,3,5554,1970.0,27.8,2.0,7.2,0.0,1012.2,310.0,4.6,6,9,21,3,0,55.0,8.62245370207373,3.407179453339703,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
678,0,30.7,5,60977,1976.0,7.0,0.0,7.0,0.0,1016.1,70.0,7.2,10,23,7,6,1,49.0,11.01826842236582,3.456316680883235,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1246,3,16.1184,14,50327,1970.0,12.2,0.0,5.6,0.0,1011.8,210.0,2.1,4,27,20,2,0,55.0,10.826316861249866,2.840153908402205,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1017,3,0.0,10,109263,1970.0,33.9,0.0,6.7,0.0,1014.5,280.0,2.6,6,20,22,0,0,55.0,11.60152225120087,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
221,1,970.58,2,204349,1993.0,25.6,2.0,-2.8,0.0,1008.9,230.0,6.2,3,22,20,1,0,32.0,12.227589488992423,6.878923612313434,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
565,0,9.25,4,15326,1954.0,15.0,0.0,13.3,3.0,1015.9,150.0,2.6,12,15,2,3,0,71.0,9.637371257998907,2.327277705584417,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
717,0,5.0,5,28826,1976.0,12.0,0.0,12.0,0.0,1016.1,300.0,2.6,6,8,5,2,0,49.0,10.269067726945378,1.791759469228055,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1381,2,1106.1,15,84615,1963.0,3.9,0.0,2.2,0.0,1021.2,250.0,1.5,11,26,7,5,1,62.0,11.345878653007889,7.009499262865421,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1265,1,753.196,14,35605,1970.0,15.6,2.0,6.1,0.0,1014.0,290.0,5.1,10,24,15,0,0,55.0,10.480269441964808,6.625652281177204,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
151,0,21.3,1,30495,1997.0,1.4,0.0,0.3,0.0,1007.6,130.0,2.1,4,10,4,6,1,28.0,10.325350806453928,3.104586678466073,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
761,0,2.2919,6,52534,1970.0,0.6,0.0,-10.6,0.0,1018.3,220.0,2.1,1,30,8,5,1,55.0,10.869234893122876,1.191464905682726,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1014,0,24.25,10,43094,1970.0,21.7,2.0,5.0,0.0,1013.3,280.0,5.7,5,18,21,2,0,55.0,10.6711622600815,3.228826155721369,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
687,0,20.2,5,36221,1976.0,1.0,0.0,0.0,0.0,1016.1,310.0,4.1,2,23,4,1,0,49.0,10.49742194802448,3.054001181677967,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
890,0,378.0,9,202937,1970.0,17.2,0.0,12.2,0.0,1016.8,0.0,0.0,11,16,3,2,0,55.0,12.220655792654917,5.937536205082426,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1331,1,65.1512,15,171008,1930.0,13.3,4.0,7.2,0.0,1007.3,140.0,2.6,5,4,14,2,0,95.0,12.049471465678751,4.191943030985995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
684,0,169.0,5,152471,1919.0,4.0,0.0,2.0,0.0,1016.1,90.0,7.2,12,3,20,5,1,106.0,11.93473625161448,5.135798437050262,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
896,1,215.161,9,245637,1970.0,7.8,0.0,3.3,0.0,1021.1,0.0,0.0,11,21,10,0,0,55.0,12.411614186413772,5.376023500404001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
90,0,356.63800000000003,0,59200,1999.0,25.6,2.0,23.9,0.0,1017.2,330.0,2.1,9,17,12,5,1,26.0,10.988693712621323,5.879521301635845,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1273,3,308.436,14,104089,1970.0,4.4,0.0,1.1,0.0,1007.3,190.0,1.5,2,1,11,0,0,55.0,11.553011188509512,5.7347512856043386,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
177,0,368.2,2,167066,1989.0,12.2,2.0,-6.1,0.0,1025.8,260.0,2.6,12,19,17,0,0,36.0,12.026150208545442,5.911338502628697,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
302,0,29.06,3,57100,2015.0,22.2,8.0,16.1,0.0,1018.4,30.0,4.6,9,3,6,5,1,10.0,10.9525769086256,3.4031953843248286,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1074,0,34.217,13,89858,1970.0,21.1,6.0,5.6,0.0,1012.5,330.0,5.1,6,8,0,2,0,55.0,11.40599705414024,3.561528920564495,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1331,0,255.15,15,171008,1930.0,-9.4,0.0,-18.9,0.0,1013.7,260.0,11.3,12,15,18,3,0,95.0,12.049471465678751,5.545763210385212,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
273,0,238.48,2,140345,1970.0,11.7,4.0,0.6,0.0,1018.5,130.0,2.1,1,3,8,6,1,55.0,11.851866081205763,5.478469906057152,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1289,2,4522.21,14,194441,1970.0,18.9,0.0,17.8,0.0,1004.1,250.0,2.1,6,6,9,0,0,55.0,12.177889197055883,8.416977197761078,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
170,1,163.85,2,45224,1982.0,27.8,4.0,2.2,0.0,1005.1,80.0,2.1,5,15,8,6,1,43.0,10.719405310263497,5.10503596951774,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
801,0,4365.94,7,484376,1952.0,12.7,0.0,-0.9,0.0,1022.3,350.0,6.7,4,19,18,1,0,73.0,13.090618808113485,8.38181781398197,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
515,0,89.88,3,63900,1921.0,16.7,0.0,11.1,0.0,1025.3,40.0,2.1,5,20,13,4,0,104.0,11.065090289695444,4.509539954972841,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
806,0,58.2917,8,28693,1970.0,28.3,4.0,25.6,0.0,1020.4,170.0,3.1,8,15,13,0,0,55.0,10.264443320658335,4.0824693299343,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1066,0,51.9325,12,55800,1970.0,9.9,5.0,2.1,0.0,1022.1,70.0,6.0,5,25,10,2,0,55.0,10.929547069355774,3.969017516947954,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
267,0,109.13,2,72193,2013.0,21.1,0.0,-2.2,0.0,1004.9,270.0,6.7,3,7,22,0,0,12.0,11.18711221893464,4.701661486176852,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
120,0,199.0,1,68211,1976.0,5.8,0.0,3.0,0.0,1008.9,350.0,4.6,11,7,4,0,0,49.0,11.130375781432804,5.298317366548036,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
228,1,61.158,2,49108,1951.0,27.8,0.0,-2.8,0.0,1009.6,290.0,4.6,5,25,4,2,0,74.0,10.801797596374334,4.1296795305095895,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1178,0,152.45600000000002,13,133072,1970.0,21.7,0.0,15.0,-1.0,1007.5,340.0,3.1,6,4,20,5,1,55.0,11.798653128809102,5.033413880985595,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
883,0,447.0,9,399331,1970.0,11.1,0.0,3.3,0.0,1027.5,30.0,2.6,2,13,14,5,1,55.0,12.897548430085685,6.104793232414985,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,0,53.1032,0,4698,1981.0,32.2,4.0,22.8,0.0,1016.2,340.0,2.1,9,23,17,4,0,44.0,8.455104999102815,3.990893333825896,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1438,2,214.655,15,108971,1990.0,21.1,0.0,18.3,0.0,1017.8,170.0,1.5,7,30,18,5,1,35.0,11.598846247477828,5.373679908542665,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
687,0,8.9,5,36221,1976.0,16.0,0.0,15.0,0.0,1016.1,260.0,4.1,7,8,1,4,0,49.0,10.49742194802448,2.2925347571405443,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
240,1,229.123,2,111304,1964.0,30.0,0.0,6.7,0.0,1012.9,0.0,0.0,10,24,3,0,0,61.0,11.62002945988443,5.4386139485866325,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
773,0,45.2333,6,93313,1970.0,22.8,0.0,18.3,0.0,1012.0,0.0,0.0,6,29,2,2,0,55.0,11.44372542916909,3.833700317671883,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
881,0,898.0,9,344798,1970.0,26.1,0.0,23.9,0.0,1018.5,150.0,3.1,8,23,5,1,0,55.0,12.750716917535453,6.80128303447162,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
271,0,163.74,2,71421,1970.0,29.4,0.0,2.8,0.0,1013.4,110.0,4.6,9,19,16,0,0,55.0,11.176361224116755,5.104368473513103,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
705,0,4.9,5,23605,1976.0,16.0,0.0,13.0,0.0,1016.1,90.0,1.5,8,14,8,6,1,49.0,10.069256195989016,1.7749523509116738,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1221,0,0.0,13,29062,1970.0,-3.3,0.0,-8.3,0.0,1021.8,350.0,7.2,2,25,13,3,0,55.0,10.277221166482796,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1248,2,233.091,14,78002,1970.0,13.9,0.0,5.0,0.0,1027.0,180.0,4.1,11,1,17,1,0,55.0,11.264502566470563,5.455709928648905,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
433,0,97.77,3,23055,1970.0,-4.4,0.0,-18.9,0.0,1032.7,140.0,2.1,2,14,23,6,1,55.0,10.045681318239303,4.592793914920036,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
428,0,1.85,3,1396,1970.0,28.9,4.0,3.9,0.0,1020.6,350.0,4.1,4,18,21,0,0,55.0,7.242082359256962,1.0473189942805592,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
890,1,484.692,9,202937,1970.0,18.9,0.0,2.8,0.0,1010.0,320.0,2.1,1,15,19,4,0,55.0,12.220655792654917,6.185574678143371,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
138,0,165.0,1,118231,1970.0,19.0,0.0,14.3,0.0,1001.2,290.0,4.1,6,13,15,0,0,55.0,11.680404074894408,5.111987788356544,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
220,3,0.0,2,122592,1971.0,21.7,0.0,5.0,0.0,1008.7,90.0,3.6,10,17,10,0,0,54.0,11.716625204606236,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
95,1,2279.36,0,200933,2006.0,25.6,0.0,15.0,0.0,1018.7,280.0,5.7,3,2,17,2,0,19.0,12.210731774910895,7.732088604221267,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
579,0,0.5657,4,7781,1910.0,14.4,2.0,11.1,0.0,1010.5,20.0,2.1,9,5,4,0,0,115.0,8.9595686535445,0.4483330083353402,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1175,0,43.541,13,81372,1970.0,2.2,0.0,-1.7,0.0,1018.4,320.0,5.1,2,24,4,2,0,55.0,11.306798801635871,3.796410113305968,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
628,0,19.0,4,40706,1958.0,7.2,0.0,4.4,0.0,1017.8,320.0,1.5,12,22,6,3,0,67.0,10.614155346814062,2.995732273553991,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1022,3,0.0,10,84346,1970.0,28.3,0.0,-1.7,0.0,1005.6,170.0,7.2,7,9,7,5,1,55.0,11.342694521247967,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
155,0,51.2,1,51688,1930.0,6.3,0.0,4.0,0.0,992.7,270.0,6.2,11,18,1,4,0,95.0,10.853000271901186,3.955082494888593,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
535,0,23.51,3,15000,2010.0,26.7,6.0,18.3,0.0,1016.3,170.0,3.6,5,27,0,4,0,15.0,9.61587214452889,3.1990811975400213,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
495,0,60.83,3,47500,1968.0,15.0,0.0,9.4,0.0,1017.8,0.0,0.0,4,19,8,1,0,57.0,10.768506042432708,4.124388683570477,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1383,1,11.99,15,105612,1967.0,5.0,0.0,-3.3,0.0,1028.2,300.0,2.6,4,15,0,4,0,58.0,11.567536748737975,2.5641798306825083,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
932,1,1636.32,9,233937,1970.0,38.9,0.0,22.8,0.0,1006.5,140.0,3.6,8,12,21,4,0,55.0,12.362811401967503,7.400816037803236,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1300,3,1.0113,14,25609,1970.0,10.0,2.0,-0.6,0.0,1021.8,40.0,3.1,5,10,9,1,0,55.0,10.15073817919357,0.6987812791770384,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
927,0,796.0,9,745671,1970.0,24.4,0.0,19.4,0.0,1020.4,340.0,1.5,9,11,6,6,1,55.0,13.522041104214876,6.680854678790215,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
769,1,0.0,6,77263,1970.0,12.8,0.0,0.6,0.0,1015.0,200.0,3.1,11,11,0,4,0,55.0,11.254983408113324,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
917,2,195.2,9,237702,1970.0,21.7,0.0,17.8,0.0,1015.7,110.0,1.5,5,21,9,5,1,55.0,12.37877727421942,5.279134547131263,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1266,3,94.945,14,13469,1970.0,31.7,4.0,19.4,0.0,1011.7,290.0,3.6,7,26,19,1,0,55.0,9.50822026940441,4.563775110621705,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
592,0,362.88,4,120694,2012.0,20.0,2.0,13.9,0.0,1013.9,300.0,6.2,9,18,1,6,1,13.0,11.701021981206871,5.896824142953861,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
748,1,10.9953,6,32766,1970.0,26.7,0.0,21.1,0.0,1015.4,250.0,1.5,9,10,4,5,1,55.0,10.397177190355384,2.4845149063999115,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
775,0,165.417,6,104355,1970.0,4.4,0.0,-9.4,0.0,1006.7,330.0,6.2,1,29,18,4,0,55.0,11.555563409654464,5.114496686630316,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1090,1,3.9984,13,305047,1970.0,0.0,2.0,-3.3,0.0,1020.6,330.0,1.5,2,21,5,6,1,55.0,12.62822442025626,1.6091178612231751,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
325,0,51.29,3,59200,1959.0,27.8,6.0,20.0,0.0,1017.1,140.0,5.1,7,13,0,2,0,66.0,10.988693712621323,3.956805148200039,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
896,0,158.0,9,245637,1970.0,12.8,0.0,8.3,0.0,1013.7,0.0,0.0,12,31,13,5,1,55.0,12.411614186413772,5.068904202220232,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
868,0,129.167,8,60000,1970.0,26.1,0.0,22.8,0.0,1018.8,90.0,1.5,7,16,4,5,1,55.0,11.002116507732016,4.868818241427815,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
82,1,253.262,0,10743,1974.0,26.1,6.0,21.1,0.0,1013.5,170.0,6.2,9,28,0,2,0,51.0,9.282102738203074,5.538365231455014,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
920,1,347.88699999999994,9,85623,1970.0,25.6,0.0,22.8,-1.0,1015.9,170.0,2.1,8,21,18,6,1,55.0,11.357720896664212,5.854748087538685,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1177,1,7.0389,13,20444,1970.0,18.9,0.0,15.6,-1.0,1012.8,300.0,5.7,7,14,23,3,0,55.0,9.925493632798744,2.084292257910325,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1224,3,161.905,14,23481,1970.0,0.6,0.0,-6.7,0.0,1022.0,100.0,2.1,3,4,4,4,0,55.0,10.063989449190156,5.0931672088140605,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
361,0,12.49,3,13224,1965.0,19.4,0.0,13.3,0.0,1005.5,190.0,8.8,3,25,8,4,0,60.0,9.4898642567265,2.6019486702196644,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
723,0,71.2,5,160038,1966.0,14.0,0.0,13.0,0.0,1016.1,60.0,4.6,5,8,7,6,1,59.0,11.98317281451376,4.279440045898781,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
52,0,557.6519999999999,0,106523,1970.0,25.0,2.0,23.3,0.0,1019.8,0.0,0.0,7,20,10,2,0,55.0,11.57612559085632,6.325526739046009,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1210,1,11.4954,13,92500,1970.0,10.0,0.0,0.0,0.0,1019.1,70.0,7.2,4,30,15,5,1,55.0,11.434974734252892,2.5253605765796387,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
240,0,129.23,2,111304,1964.0,31.7,0.0,21.1,0.0,1013.5,130.0,4.1,8,2,17,1,0,61.0,11.62002945988443,4.869302117979612,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1300,3,0.5251,14,25609,1970.0,25.0,4.0,21.7,0.0,1010.7,190.0,3.6,9,11,9,6,1,55.0,10.15073817919357,0.4220599816800011,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
689,0,8.96,5,11442,1976.0,7.0,0.0,5.0,0.0,1016.1,260.0,7.7,11,17,21,3,0,49.0,9.345133468317714,2.298577071596507,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
270,1,17.2677,2,29778,1970.0,21.1,2.0,4.4,0.0,1017.5,170.0,1.5,11,23,19,2,0,55.0,10.30155872609058,2.905134473028941,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
207,1,62.4593,2,99700,1970.0,24.4,2.0,-15.0,0.0,1002.3,290.0,15.4,4,16,1,5,1,55.0,11.5099309859899,4.150398755523774,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
514,0,11.04,3,12750,1970.0,20.0,6.0,10.0,0.0,1019.4,170.0,2.1,5,19,21,3,0,55.0,9.453364978883542,2.488234439880675,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1406,0,107.325,15,136522,2005.0,25.0,0.0,16.7,0.0,1019.9,170.0,4.1,8,10,2,2,0,20.0,11.824248377581428,4.685135967625973,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
324,0,16.94,3,11910,1970.0,11.7,0.0,9.4,0.0,1012.8,40.0,5.1,3,14,19,0,0,55.0,9.3852176218809,2.88703285663065,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
119,0,453.0,1,91149,2007.0,3.7,0.0,1.4,0.0,1007.8,290.0,4.1,4,26,2,1,0,18.0,11.42026178010681,6.118097198041348,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1121,0,224.209,13,85732,1970.0,27.8,6.0,20.0,0.0,1014.7,160.0,6.2,8,1,18,0,0,55.0,11.35899309464505,5.417028859942998,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
181,1,6.26,2,148829,2014.0,11.1,0.0,-2.2,0.0,1012.2,260.0,3.6,2,2,1,1,0,11.0,11.910559993963204,1.9823798288367047,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,0,0.0,0,42731,2002.0,15.6,0.0,9.4,0.0,1017.7,140.0,4.6,1,22,5,4,0,23.0,10.662703333065778,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
803,1,705.7,7,182986,1962.0,19.2,0.0,14.2,0.0,1017.9,50.0,1.0,8,1,4,0,0,63.0,12.117170391048855,6.560606247696809,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1215,0,110.49,13,100328,1970.0,21.1,0.0,12.8,0.0,1010.7,100.0,1.5,6,22,8,2,0,55.0,11.516210064761443,4.71393490077948,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1212,2,2859.38,13,237518,1970.0,-0.6,0.0,-1.7,0.0,1016.6,130.0,3.1,1,7,15,3,0,55.0,12.378002899257003,7.958709762120709,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
948,1,50.713,9,20372,1970.0,16.1,0.0,14.4,0.0,1021.0,170.0,2.1,3,6,15,6,1,55.0,9.9219657737819,3.945709200582943,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
802,1,369.74,7,290625,1995.0,0.7,0.0,0.7,0.0,1019.8,220.0,1.0,11,26,5,5,1,30.0,12.579792496178053,5.915501008300943,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1290,0,680.0,14,200442,1970.0,7.8,0.0,-2.8,0.0,1015.8,260.0,2.1,3,1,7,1,0,55.0,12.208285196034096,6.523562306149512,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
210,3,26.3764,2,71248,2004.0,13.9,0.0,11.7,0.0,1018.6,0.0,0.0,12,23,16,4,0,21.0,11.173936062944684,3.309681328381492,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,0,0.0,0,387638,2002.0,25.0,0.0,14.4,0.0,1017.9,60.0,9.8,4,16,20,5,1,23.0,12.867829773132025,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1358,0,30.0,15,61439,1903.0,-0.6,0.0,-5.0,0.0,1013.8,230.0,2.6,12,8,13,3,0,122.0,11.025816367821552,3.4339872044851463,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
507,0,101.8,3,61151,1970.0,25.6,4.0,23.9,0.0,1009.0,200.0,2.1,7,7,9,3,0,55.0,11.02111784704,4.632785353021065,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
942,1,258.277,9,57334,1970.0,12.8,0.0,11.7,0.0,1015.5,0.0,0.0,4,14,10,3,0,55.0,10.956666536472405,5.557896988263422,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1140,1,1644.68,13,156483,1970.0,20.6,0.0,16.7,0.0,1010.5,220.0,2.6,7,17,14,6,1,55.0,11.96070904731412,7.405908951644219,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1266,0,42.0,14,13469,1970.0,2.8,0.0,-2.8,0.0,1015.9,360.0,1.5,12,14,2,2,0,55.0,9.50822026940441,3.7612001156935615,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
960,2,9.15,9,56137,1970.0,23.3,0.0,15.0,0.0,1015.4,170.0,4.6,3,6,21,6,1,55.0,10.935568224058622,2.3174737054877963,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1088,2,11375.0,13,287594,1970.0,5.6,0.0,-1.1,0.0,1005.4,250.0,4.6,3,17,5,3,0,55.0,12.569308519420602,9.339261152043022,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
